UNIT,UNIT_DIMENSION,CONVERTIBLE_UNIT,DISPLAY_UNIT,MASTER_UNIT,SI_UNIT,US_CONVENTIONAL_UNIT,SPDEF_SUBMVAL,USE_MOLECULAR_WEIGHT,USE_COMPLEX_UNIT_CONVERSION,CONVERTION_FACTOR_TO_MASTER,CT_SUBMVAL,CT_SUBMVAL_2,CT_CD,description,CD_VAL_SORT_SEQ,UCUM name,AGE_UNIT_SUBSET,STUDY_TIME_UNIT_SUBSET,DOSE_UNIT_SUBSET,TIME_UNIT_SUBSET,STRENGTH_UNIT_SUBSET,STUDY_PREFERRED_TIME_UNIT,ENDPOINT_UNITS_SUBSET,Migrate Y/N,Comment
K,TEMPERATURE,N,Y,N,Y,N,,N,N,1,K,,C42537,"A basic unit of thermodynamic temperature, one of the seven base units of the International System of Units (Systeme International d'Unites, SI). It is 1/273.16th of the thermodynamic temperature of the triple point of water. This sets the size of the kelvin unit for temperature differences and defines the thermodynamic temperature of an equilibrium mixture of waters ice-liquid-vapor as 273.15 K, where 0 K is the lowest possible temperature (""absolute zero"").",1910,K,N,N,N,N,N,N,Y,Y,
/VF,MICROSCOPE DEPENDENT COUNTS,N,Y,N,N,N,,N,N,,/VF,,C105516,"CDISC code: C105516
CDISC submission value: /VF
CDISC synonym(s): per Visual Field 
CDISC definition: A unit of measure equal to the instances of an entity per visual field of a microscope. (NCI)
NCI preferred term: Per Visual Field",137,/{VF},N,N,N,N,N,N,Y,Y,
days/wk,TIME,N,Y,N,N,N,,N,N,1,days/wk,,C170633,A unit of measurement equal to the number of days within a period of time equal to one week.,1950,d/wk,N,N,N,N,N,N,Y,Y,
U,DOSE UNIT,Y,Y,Y,N,N,,N,N,1,U,,C44278,"CDISC code: C44278
CDISC submission value: U
CDISC synonym: Unit
CDISC Description: A single undivided thing occurring in the composition of something else.
NCI preferred term: U

[dose subset]",1500,{U},N,N,Y,N,N,N,Y,Y,
nmol BCE/L,CONCENTRATION,Y,Y,N,N,N,,Y,N,0.000000001,nmol BCE/L,,C117974,"SDTM Terminology 2015-12-18; Not available in version 2013-04-12

CDISC code: C117974
CDISC submission value: nmol BCE/L
CDISC synonym: Nanomoles Bone Collagen Equivalents per Liter
CDISC Description:
A unit of relative amount of substance concentration equal to nanomoles of bone collagen equivalent weight per unit of volume equal to one liter.
NCI preferred term: Nanomole Bone Collagen Equivalent per Liter",35,{nmolBCE}/L,N,N,N,N,N,N,Y,Y,
mL/100g/min,RELATIVE FLOW RATE,Y,Y,N,Y,N,,N,N,600,mL/100g/min,,C154855,mL per 100g of tissue per minute,1,mL/10*2.g/min,N,N,N,N,N,N,Y,Y,
g/U,DOSE UNIT RATIO,N,Y,Y,N,N,,N,N,1,g/U,,C166099,"g/U - Insulin:Carbohydrates ratio unit
",1000,g/{U},N,N,N,N,N,N,Y,Y,
L/kg,VOLUME,N,Y,N,Y,N,,N,N,1,L/kg,,C73725,"CDISC submission value:  L/kg
CDISC code: C73725
CDISC synonym: Liter per Kilogram
CDISC: A dose calculation unit expressed in liter(s) per kilogram. (NCI) 
NCI preferred term: Liter per Kilogram
",2130,L/kg,N,N,N,N,N,N,Y,Y,
IU/day,DOSE UNIT PER TIME,Y,Y,N,N,N,,N,N,7,IU/day,,C85645,"A unit of substance (biologic activity) flow rate equal to one international unit per day.(NCI)

[dose subset]",1,[IU]/d,N,N,Y,N,N,N,Y,Y,
L/h,FLOW,Y,Y,N,Y,N,,N,N,1000,L/h,,C69160,"<CodeLists>
<CodeList Value=""UNIT""></CodeList>
<CodeList Value=""PKUNIT""></CodeList>
</CodeLists>
CDISC code: C69160
CDISC submission value: L/h
CDISC synonym: 
CDISC Description: Liters per hour.
NCI preferred term: Liter per Hour
",70,L/h,N,N,N,N,N,N,Y,Y,
mmol/24 hrs,MASS FLOW RATE,Y,Y,N,Y,N,,N,N,69444,mmol/day,,C67420,A unit of substance flow rate equal to one millimole per period of time equal to twentyfour hours.,1,mmol/d,N,N,N,N,N,N,Y,Y,
ug/g,MASS FRACTION,Y,Y,N,Y,N,,N,N,1,mg/kg,,C67401,"CDISC code: C67401 (CDISC CT version 2017-03-31)
CDISC submission value: mg/kg
CDISC synonym(s):  Milligram per Kilogram; ug/g
CDISC definition: A unit of a mass fraction expressed as a number of milligrams of substance per kilogram of mixture. The unit is also used as a dose calculation unit.(NCI)
NCI preferred term: Milligram per Kilogram",131,mg/kg,N,N,N,N,N,N,Y,Y,
Watt,ENERGY EXPENDITURE,Y,Y,N,Y,N,,N,N,1,Watt,,C42549,"A unit of power equal to the power which in one second produces or transfers the energy of one joule. The unit is used in measurements of power emitted, transferred or received as radiation, sound waves, heat flow rate, and rate of energy transfer. Equal to 1/746 of horsepower.(NCI)",1,W,N,N,N,N,N,N,Y,Y,
ug/day,MASS FLOW RATE,Y,Y,N,Y,N,,N,N,0.0006944,ug/day,,C71205,"Unit for measurement of 24-hour quantitatively collected urine.
CDISC code: C71205
CDISC submission value: ug/day
CDISC synonym(s): Microgram per Day; mcg/day
CDISC definition: A unit of mass flow rate equivalent to the rate at which one millionth of a gram of matter travels to a given object or space over a period of time equal to twenty four hours. Microgram per day is also a dose administration rate unit equal to the rate at which one millionth of a gram of a product is administered per unit of time equal to twenty four hours.(NCI)
NCI preferred term: Microgram per Day

[dose subset]",120,ug/d,N,N,Y,N,N,N,Y,Y,
OD,OPTICAL DENSITY,N,Y,N,N,N,,N,N,1,OD Unit,,C73681,Optical Density,1511,{OD Unit},N,N,N,N,N,N,Y,Y,
hour,TIME,Y,Y,N,Y,N,,N,N,3600,HOURS,,C25529,"CDISC submission value: HOURS
CDISC Synonym: Hour
CDISC definition: A unit measure of time equal to 3,600 seconds or 60 minutes. It is approximately 1/24 of a median day.(NCI)

[age subset]
[time subset]",1,h,Y,N,N,Y,N,N,Y,Y,
tsp,DOSE UNIT,N,Y,N,N,N,,N,N,1,tsp,,C48544,"A dosing measurement based on the teaspoon unit.(NCI)

[dose subset]",1,[tsp_us],N,N,Y,N,N,N,Y,Y,
mg/g Creatinine,MASS FRACTION,Y,Y,N,Y,N,,N,N,1000,g/kg,,C69104,mg/g Creatinine,1,ug/mg,N,N,N,N,N,N,Y,Y,
x10^9/L,CELL COUNT,Y,Y,N,Y,N,,N,N,1,10^9/L,,C67255,A unit of measurement equal to 10 to the ninth power of the number of entities per unit of volume equal to one liter.,30,10*9/L,N,N,N,N,N,N,Y,Y,
x10^12/L,CELL COUNT,Y,Y,N,Y,N,,N,N,1000,10^12/L,,C67308,A unit of measurement equal to 10 to the twelfth power of the number of entities per unit of volume equal to one liter.,30,10*12/L,N,N,N,N,N,N,Y,Y,
mg/24 hrs,MASS FLOW RATE,Y,Y,N,Y,N,,N,N,6944,mg/day,,C67399,A unit of mass flow rate equal to one milligram per period of time equal to twentyfour hours.,1,mg/d,N,N,N,N,N,N,Y,Y,
/NL,CELL COUNT,Y,Y,N,N,N,,N,N,1,10^9/L,,C67255,"equal to 10^9/L
No CDISC standard for submission value or definition exist",30,10*9/L,N,N,N,N,N,N,Y,Y,
min/day,TIME,N,Y,N,Y,N,,N,N,1,min/day,,C176381,"A unit of amount of time per day equal to minutes per day
",150,min/d,N,N,N,N,N,N,Y,Y,
ng/mg,MASS FRACTION,Y,Y,N,Y,N,,N,N,1,mg/kg,,C67401,Nanogram per milligram,1,mg/kg,N,N,N,N,N,N,Y,Y,
Tbsp,DOSE UNIT,N,Y,N,N,N,,N,N,1,Tbsp,,C48541,"A dosing measurement based on the tablespoon unit.(NCI)

[dose subset]",1,[tbs_us],N,N,Y,N,N,N,Y,Y,
mU/kg,RELATIVE DOSE UNIT,Y,Y,N,N,N,,N,N,1,0,,,"mU/kg, milli Units per Kilogram to be used for derived topic codes on dosing",1720,mU/kg,N,N,N,N,N,N,Y,Y,
days,TIME,Y,Y,N,Y,N,,N,N,86400,DAYS,,C25301,,1950,d,Y,Y,N,Y,N,N,Y,Y,
hours,TIME,Y,Y,N,Y,N,,N,N,3600,HOURS,,C25529,,1950,h,Y,N,N,Y,N,N,Y,Y,
months,TIME,N,Y,N,N,N,,N,N,,MONTHS,,C29846,,1950,mo,Y,N,N,Y,N,N,Y,Y,
week,TIME,Y,Y,N,N,N,,N,N,604800,WEEKS,,C29844,,1950,wk,Y,Y,N,Y,N,Y,Y,Y,
weeks,TIME,Y,Y,N,N,N,,N,N,604800,WEEKS,,C29844,,1950,wk,Y,Y,N,Y,N,N,Y,Y,
years,TIME,N,Y,N,N,N,,N,N,,YEARS,,C29848,,1950,a,Y,Y,N,Y,N,N,Y,Y,
LB,WEIGHT,Y,Y,N,N,Y,,N,N,45359237,LB,,C48531,,2200,[lb_av],N,N,N,N,N,N,Y,Y,
IU/kg,RELATIVE DOSE UNIT,Y,Y,N,N,N,,N,N,1,IU/kg,,C67379,,1720,[IU]/kg,N,N,Y,N,N,N,Y,Y,
PA,COUNT PER TIME,Y,Y,N,N,N,,N,N,1.1408E+12,PA,,C74924,,39,/a,N,N,N,N,N,N,Y,Y,
RATIO,PERCENTAGE,Y,Y,N,N,Y,,N,N,100,RATIO,,C44256,,1520,{Ratio},N,N,N,N,N,N,Y,Y,
Count of participants,ENDPOINT UNITS,N,Y,N,N,N,,N,N,,,,,,3001,,N,N,N,N,N,N,Y,Y,
Score points,ENDPOINT UNITS,N,Y,N,N,N,,N,N,,,,,,3002,,N,N,N,N,N,N,Y,Y,
% of readings,ENDPOINT UNITS,N,Y,N,N,N,,N,N,,,,,,3003,,N,N,N,N,N,N,Y,Y,
Number of episodes,ENDPOINT UNITS,N,Y,N,N,N,,N,N,,,,,,3004,,N,N,N,N,N,N,Y,Y,
Ratio from baseline,ENDPOINT UNITS,N,Y,N,N,N,,N,N,,,,,,3005,,N,N,N,N,N,N,Y,Y,
Hazard ratio,ENDPOINT UNITS,N,Y,N,N,N,,N,N,,,,,,3006,,N,N,N,N,N,N,Y,Y,
Ratio,ENDPOINT UNITS,N,Y,N,N,N,,N,N,,,,,,3007,,N,N,N,N,N,N,Y,Y,
Count of events,ENDPOINT UNITS,N,Y,N,N,N,,N,N,,,,,,3008,,N,N,N,N,N,N,Y,Y,
%-points,ENDPOINT UNITS,N,Y,N,N,N,,N,N,,,,,,3009,,N,N,N,N,N,N,Y,Y,
Count,ENDPOINT UNITS,N,Y,N,N,N,,N,N,,,,,,3010,,N,N,N,N,N,N,Y,Y,
mg/kg/min/pmol/L,ENDPOINT UNITS,N,Y,N,N,N,,N,N,,,,,,3011,,N,N,N,N,N,N,Y,Y,
pmol*L/m2/min2/kg,ENDPOINT UNITS,N,Y,N,N,N,,N,N,,,,,,3012,,N,N,N,N,N,N,Y,Y,
pmol/min/m2,ENDPOINT UNITS,N,Y,N,N,N,,N,N,,,,,,3013,,N,N,N,N,N,N,Y,Y,
pmol/min/m2/mmol/L,ENDPOINT UNITS,N,Y,N,N,N,,N,N,,,,,,3014,,N,N,N,N,N,N,Y,Y,
