UNIT,UNIT_DIMENSION,CONVERTIBLE_UNIT,DISPLAY_UNIT,MASTER_UNIT,SI_UNIT,US_CONVENTIONAL_UNIT,SPDEF_SUBMVAL,USE_MOLECULAR_WEIGHT,USE_COMPLEX_UNIT_CONVERSION,CONVERTION_FACTOR_TO_MASTER,CT_SUBMVAL,CT_SUBMVAL_2,CT_CD,description,CD_VAL_SORT_SEQ,UCUM name,AGE_UNIT_SUBSET,STUDY_TIME_UNIT_SUBSET,DOSE_UNIT_SUBSET,TIME_UNIT_SUBSET,STRENGTH_UNIT_SUBSET,STUDY_PREFERRED_TIME_UNIT,ENDPOINT_UNITS_SUBSET,Migrate Y/N,Comment
min*ng/mL,TIME TIMES CONCENTRATION,Y,Y,N,Y,N,,N,N,1667,0,,,"CDISC code: C85732
CDISC submission value: min*ng/mL
CDISC synonym(s): ng*min/mL; min*ug/L; ug*min/L; min*ng/mL
CDISC definition: Minutes times nanograms per milliliter.
NCI preferred term: Minute Times Nanogram per Milliliter""",36,min.ng/mL,N,N,N,N,N,N,Y,Y,
0/00,PERCENTAGE,Y,Y,N,N,N,0/00,N,N,1,0,,,CDISC not found. Equal to pro mille = per 1000 red blood cells,1520,0/00,N,N,N,N,N,N,Y,Y,
mL/week,FLOW,Y,Y,N,N,N,mL/Week,N,N,6,0,,,"Sponsor defined: mL/week
",60,mL/wk,N,N,N,N,N,N,Y,Y,
mm2/usec,AREA PER TIME,Y,Y,N,Y,N,mm2/usec,N,N,1E+12,0,,,Millimeter squared divided by microsecond,1,,N,N,N,N,N,N,Y,Y,
h*nmol Eq/L,TIME TIMES CONCENTRATION,N,Y,N,N,N,,N,N,,0,,,Hours times equivalent nanomol per liter (area under the curve). ,100,0,N,N,N,N,N,N,Y,Y,
nmolEq/L,VOLUMETRIC RADIOACTIVITY,N,Y,N,N,N,,N,N,1,0,,,"Sponsor defined. nmol equivalent per liter blood. CDISC not found
",2150,0,N,N,N,N,N,N,Y,Y,
nmol*h/L/mg,CONCENTRATION PER TIME PER DOSE,N,Y,Y,Y,N,,Y,N,1,0,,,"Sponsor defined: A unit of concentration (molarity unit) equal to one billionth of a mole (10E-9 mole) of solute multiplied with Hours per Liter per miligram.
",38,nmol.h/L/mg,N,N,N,N,N,N,Y,Y,
mmol/L/min,CONCENTRATION PER TIME,Y,Y,N,Y,N,,Y,N,6,0,,,"Unit for measurement of endpoint calculated as rate. The unit consists of the main unit per the time unit. 
Conversion Factor to Master: 
   Main unit: 100 mg / dL =100 mg / 100 mL = 1000 mg / L. Divide by molar mass glucose:   1000  mg / L / molecular weigth  = xxx mmol/L. That gives a factor of 0.001 when converting mmol/l to mg/dl.
   Time unit: 60 minutes = 1 hours . That gives a factor of 1/60 when converting from minutes to hours.

Main unit together with time unit will have a factor of 0.001/(1/60)=0.001*60=0.06. 
",36,mmol/L/min,N,N,N,N,N,N,Y,Y,
h*mIU/L,TIME TIMES CONCENTRATION,N,N,N,N,N,,N,N,,0,,,"Sponsor defined: Concentration of one international unit multiplied with Hour per liter of system volume.
CONVERSION FACTOR HAVE NOT BEEN QC",100,h.m[IU]/L,N,N,N,N,N,N,Y,Y,
h*g/L,TIME TIMES CONCENTRATION,Y,Y,N,Y,N,,N,N,1000000000,0,,,Hours times grams pr liter (area under the curve),100,h.ng/L,N,N,N,N,N,N,Y,Y,
